Chain,Chain ID,Morpho Protocol ID,Identifier,Supply or borrow,Position,Position ID
ethereum,1,1,0x0a9d7d7deb2be40cf027b87f3bb4a4776095be5d1a9d8d64253e8f9f4f64fa85,2,1.1.2.0x0a9d7d7deb2be40cf027b87f3bb4a4776095be5d1a9d8d64253e8f9f4f64fa85,62599778192123348166397615973699403116508690003343610388821021580656429411576
ethereum,1,1,0x0a9d7d7deb2be40cf027b87f3bb4a4776095be5d1a9d8d64253e8f9f4f64fa85,3,1.1.3.0x0a9d7d7deb2be40cf027b87f3bb4a4776095be5d1a9d8d64253e8f9f4f64fa85,57039151850812603251872658466504356708653884406065806610841081825256993497442
ethereum,1,1,0x0af7f7f961ccf778fcc40f0a43d2878cc595fd81203e1a9fea1b65266805cf32,2,1.1.2.0x0af7f7f961ccf778fcc40f0a43d2878cc595fd81203e1a9fea1b65266805cf32,110787141463355892949554815083610890786795379622388668423331953198926602388676
ethereum,1,1,0x0af7f7f961ccf778fcc40f0a43d2878cc595fd81203e1a9fea1b65266805cf32,3,1.1.3.0x0af7f7f961ccf778fcc40f0a43d2878cc595fd81203e1a9fea1b65266805cf32,105924409986281824982920804027498396620997544961921846643934332593362804882565
ethereum,1,1,0x0b08ec9e5363d5af926f186b47300c1cfef6afae298df4d457db71438534fd27,2,1.1.2.0x0b08ec9e5363d5af926f186b47300c1cfef6afae298df4d457db71438534fd27,109022926580704766924614034481024264522880865249824142148764272536097363404515
ethereum,1,1,0x0b08ec9e5363d5af926f186b47300c1cfef6afae298df4d457db71438534fd27,3,1.1.3.0x0b08ec9e5363d5af926f186b47300c1cfef6afae298df4d457db71438534fd27,88094427761731559879498548400715706029875182575794458387073159602830731770804
ethereum,1,1,0x0b352b7550acdb1f39fea4b8f9ef8ac2d7953613b92599610b8fbec8a98a51d1,2,1.1.2.0x0b352b7550acdb1f39fea4b8f9ef8ac2d7953613b92599610b8fbec8a98a51d1,74883689778766262419635163469944375763838588371083140787493897154152862805358
ethereum,1,1,0x0b352b7550acdb1f39fea4b8f9ef8ac2d7953613b92599610b8fbec8a98a51d1,3,1.1.3.0x0b352b7550acdb1f39fea4b8f9ef8ac2d7953613b92599610b8fbec8a98a51d1,2676705701303531791584246514261380913925858754330190187221480259218016540022
ethereum,1,1,0x0b5b619d34dbcea86bbc1debccb9d7e9deebaf0dc0b31e7b995e29e214d6c355,2,1.1.2.0x0b5b619d34dbcea86bbc1debccb9d7e9deebaf0dc0b31e7b995e29e214d6c355,12967818280037139413574943965221909085433488691602949382771873813317803275798
ethereum,1,1,0x0b5b619d34dbcea86bbc1debccb9d7e9deebaf0dc0b31e7b995e29e214d6c355,3,1.1.3.0x0b5b619d34dbcea86bbc1debccb9d7e9deebaf0dc0b31e7b995e29e214d6c355,45655764510587801081456105333000180546483037180365463038091066535110156822734
